Stabilizer,Type,Source,PH,SpecificGravity
Wood Ash,Pozzolanic,Byproduct,12.5,2.1
NaCl,Salt,Commercial,7,2.16
Lime,Hydraulic,Geotech Grade,12,2.3
Cement,Hydraulic,Standard,12.5,3.15
